semana|Uni|Val|tiendas_maduras|trafico
20210210|1850.39|40424.9900699|17.92|67824.17
20210217|1548.584|33684.1421712999|17.919|66648.886
20210224|1704.98|38860.1835076999|17.921|67079.486
20210303|2161.757|49185.9636144|17.909|63803.469
20210310|2029.984|46226.5619706|17.889|71082.076
20210317|2435.732|55225.0526237001|17.881|73947.136
20210324|2333.979|50835.9472103999|17.875|66191.293
20210331|2902.338|63001.9799642001|17.872|76274.965
20210407|2910.39|62866.9124870001|17.861|73909.301
20210414|3347.725|72359.5454921|17.856|75190.631
20210421|3069.101|66324.3849951|17.857|75234.335
20210428|2996.571|67712.6377733|17.838|74048.754
20210505|3229.366|72822.7427569999|17.772|65180.061
20210512|3166.593|71499.0981302999|17.767|75090.238
20210519|3044.16|68994.2160199|17.759|74122.986
20210526|3174.281|72140.5218186998|17.75|70381.045
20210602|3523.101|80193.0963688998|17.746|77407.838
20210609|3479.757|79098.7144044999|17.731|74479.31
20210616|3556.232|80661.6720525999|17.78|74311.395
20210623|3824.625|81975.9215834998|17.767|73266.407
20210630|3282.13|69886.7354278|17.754|72520.949
20210707|3451.294|73926.8843712997|17.779|53040.865
20210714|3502.1|74590.9719008999|17.784|71901.848
